TS-Bayes_cumregret_mean,TS-Bayes_cumregret_se,TS-Freq_cumregret_mean,TS-Freq_cumregret_se,TS-Improved_cumregret_mean,TS-Improved_cumregret_se,TS-Thinness_cumregret_mean,TS-Thinness_cumregret_se,TS-ThinnessDirected_cumregret_mean,TS-ThinnessDirected_cumregret_se,TS-Bayes_thinnesses_mean,TS-Bayes_thinnesses_se,TS-Freq_thinnesses_mean,TS-Freq_thinnesses_se,TS-Improved_thinnesses_mean,TS-Improved_thinnesses_se,TS-Thinness_thinnesses_mean,TS-Thinness_thinnesses_se,TS-ThinnessDirected_thinnesses_mean,TS-ThinnessDirected_thinnesses_se
240.56988871532462,54.791753444576905,224.5837893029672,20.794194754300193,219.36912192011263,52.90011802932237,235.82561372692876,54.235016415658436,236.06776452456634,53.73014789022918,1.067456588368276,0.0012261408531785746,1.0709866076746337,0.001597681907246862,1.0717179358520124,0.0016691631641034968,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
240.9906429820494,54.93355506222768,225.06287335190694,20.898765103399246,219.74172547519342,53.03962325100728,236.24636799365362,54.376778609345585,236.48851879129114,53.87193046457034,1.067456588368276,0.0012261408531785746,1.0709866514768078,0.0015976845999130897,1.0717179374101435,0.0016691633001500166,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
241.41139724877425,55.075357202472,225.29677313404355,20.93126663485319,220.11432903027426,53.17913307642484,236.66712226037845,54.51854153601707,236.9092730580159,54.013713671758346,1.067456588368276,0.0012261408531785746,1.0709866795613179,0.0015976840492372421,1.0717179389568825,0.0016691634352023201,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
241.83215151549908,55.21715986128372,225.57916529712156,20.954084056104687,220.42253238082782,53.298507968365286,237.08787652710325,54.66030518996982,237.3300273247408,54.15549750682267,1.067456588368276,0.0012261408531785746,1.0709867134664846,0.0015976790960514763,1.0717181281286796,0.0016691903538743307,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
242.25290578222388,55.35896303467783,225.92241345819957,21.0052365770538,220.79513593590863,53.43802141220199,237.50863079382802,54.80206956555982,237.7507815914656,54.29728196484468,1.067456588368276,0.0012261408531785746,1.0709867336723333,0.0015976779470389699,1.071718129652988,0.0016691904869556703,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
242.6736600489487,55.50076671871014,225.9832562232814,20.993831225333974,221.16773949098948,53.577539382718726,237.92938506055293,54.94383465720117,238.17153585819042,54.439067040956985,1.067456588368276,0.0012261408531785746,1.0709867541352134,0.0015976791757554727,1.0717181311662678,0.0016691906190848182,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
243.09441431567353,55.642570909476575,226.25979102532727,21.068888931045954,221.47594284154303,53.696975662158934,238.3501393272777,55.08560045936559,238.59229012491522,54.580852730342734,1.067456588368276,0.0012261408531785746,1.070986771123235,0.0015976803386504033,1.071718306072537,0.0016692155215485534,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
243.5151685823984,55.78437560311279,226.43976351935953,21.07087042756517,221.84854639662382,53.83649700495065,238.77089359400253,55.22736696658136,239.01304439164005,54.722639028234966,1.067456588368276,0.0012261408531785746,1.0709868054152678,0.001597682918295587,1.071718307564107,0.001669215651771386,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
243.93592284912316,55.926180795793606,226.83380760986716,21.166590121294103,222.15674974717746,53.95599487725801,239.19164786072733,55.36913417343292,239.4337986583649,54.864425929915974,1.067456588368276,0.0012261408531785746,1.0709868244907939,0.0015976814450428306,1.0717184697766253,0.0016692387578206593,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
244.35667711584802,56.06798648373249,227.1036007848708,21.23684467165798,222.46495309773098,54.075555045817616,239.61240212745219,55.51090207455993,239.85455292508973,55.00621343071671,1.067456588368276,0.0012261408531785746,1.0709868322349094,0.0015976806527057093,1.0717186206464544,0.0016692602565909127,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
244.77743138257284,56.209792663181176,227.4065421836878,21.2555608281656,222.83755665281183,54.215078126362314,240.033156394177,55.65267066465668,240.2753071918145,55.148001526016095,1.067456588368276,0.0012261408531785746,1.0709868651238987,0.0015976824053512786,1.0717186221063286,0.0016692603840350432,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
245.19818564929764,56.35159933042906,227.76727681015927,21.264858152741116,223.14576000336538,54.334698591609474,240.45391066090184,55.79443993847133,240.69606145853936,55.289790211240394,1.067456588368276,0.0012261408531785746,1.0709868865779222,0.0015976824525456845,1.0717187627808644,0.0016692804373733487,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
245.61893991602247,56.49340648180282,228.08365536735988,21.342603451996666,223.45396335391897,54.454380381402316,240.8746649276266,55.936209890805266,241.1168157252642,55.43157948186277,1.067456588368276,0.0012261408531785746,1.0709869247681558,0.0015976821804244174,1.0717188942758042,0.0016692991877004782,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
246.03969418274727,56.635214113665874,228.56616716799545,21.4208401112969,223.76216670447258,54.57412309228413,241.2954191943515,56.077980516512405,241.537569991989,55.573369333402425,1.067456588368276,0.0012261408531785746,1.070986965187392,0.0015976789200332277,1.071719017468225,0.0016693167586105196,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
246.46044844947215,56.77702222241797,228.91760310817818,21.501219668080044,224.0703700550261,54.69392632412701,241.71617346107627,56.21975181049862,241.95832425871382,55.71515976142423,1.067456588368276,0.0012261408531785746,1.070986989218086,0.0015976786832355627,1.0717191331268137,0.0016693332585316837,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
246.88120271619692,56.91883080449479,229.18934363829845,21.50347934890032,224.37857340557966,54.81378968009976,242.1369277278011,56.361523767720904,242.37907852543862,55.85695076153807,1.067456588368276,0.0012261408531785746,1.0709870287857766,0.0015976777892400876,1.0717192419281294,0.0016693487830044564,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
247.30195698292178,57.06063985636729,229.5279592971643,21.528259455542894,224.75117696066053,54.95330775141993,242.55768199452592,56.503296383186935,242.7998327921635,55.99874232939829,1.067456588368276,0.0012261408531785746,1.0709870573761553,0.0015976750881007043,1.0717192433275764,0.0016693489051465228,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
247.72271124964655,57.20244937454156,229.88238447134057,21.607615006235754,225.12378051574132,55.0928302014798,242.97843626125078,56.64506965195427,243.2205870588883,56.14053446070306,1.067456588368276,0.0012261408531785746,1.0709870870231566,0.0015976758455259442,1.0717192447173125,0.0016693490264400993,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
